sku,name,price,qty,year,capacity,power,horsepower,engcode
630379.0,SMART FORTWO 0.7 (31),0.00,1.00,2004,698CC,NULL,NULL,WME4504322J056180
630380.0,SMART FORTWO 0.6 (46),0.00,1.00,2001,599CC,45KW,61CP,WME01MC011H077703
630381.0,SMART FORTWO 0.6 (44),0.00,1.00,2002,599CC,NULL,NULL,WME01MC012H045535
630382.0,SMART FORTWO 0.6 (45),0.00,1.00,1999,599CC,NULL,NULL,TCC01MC01XH043215
630383.0,SMART FORTWO 0.6 STG (32),0.00,1.00,1999,599CC,40KW,55CP,TCC01MC01XH007555
630384.0,SMART FORFOUR 1.1 ROSU (34),0.00,1.00,2006,1124CC,47KW,64CP,WME4540332B108258
630385.0,SMART FORFOUR 1.1 NEGRU (35),0.00,1.00,2004,1124CC,55KW,75CP,WME4540302B041526
630386.0,SMART FORFOUR 1.1 NEGRU (43),0.00,1.00,2004,1124CC,55KW,75CP,WME4540302B053486
630387.0,SMART FORFOUR 1.5 CDI NEGRU (65),0.00,1.00,2004,NULL,70KW,1493CP,WME4540012B072895
630388.0,VOLVO S60 2.0 (38),0.00,1.00,2003,1984CC,132KW,180CP,YV1RS49K232267318
630389.0,VW GOLF 4 1.4 (39),0.00,1.00,2000,1390CC,55KW,75CP,WVWZZZ1JZYW641394
630390.0,VW GOLF 4 1.6 16V (19),0.00,1.00,2001,1595CC,77KW,105CP,WVWZZZ1JZ1P030952
630391.0,VW GOLF 4 1.9TDI (13),0.00,1.00,2003,1896CC,74KW,101CP,WVWZZZ1JZ3W147153
630392.0,VW GOLF 4 1.9TDI (42),0.00,1.00,2002,1896CC,74KW,101CP,WVWZZZ1JZ2U563047
630393.0,VW GOLF 4 1.6 (28),0.00,1.00,2003,1595CC,55KW,75CP,WVWZZZ1JZ3B137503
630394.0,VW PASSAT 1.9TDI ARGINTIU (33),0.00,1.00,2001,1896CC,96KW,130CP,WVWZZZ3BZ2P248439
630395.0,VW PASSAT 1.9TDI SALOON PA ALBASTRU (27),0.00,1.00,2000,1896CC,85KW,115CP,WVWZZZ3BZYP340701
630426.0,MOTOR,1413.00,1.00,NULL,NULL,NULL,NULL,NULL
630427.0,MOTOR,1530.00,1.00,NULL,NULL,NULL,NULL,NULL
630428.0,MOTOR,1800.00,1.00,NULL,NULL,NULL,NULL,NULL
630429.0,MOTOR,1530.00,1.00,NULL,NULL,NULL,NULL,NULL
630430.0,MOTOR,1417.50,1.00,NULL,NULL,NULL,NULL,NULL
630431.0,MOTOR,1800.00,1.00,NULL,NULL,NULL,NULL,NULL
630432.0,MOTOR,1530.00,1.00,NULL,NULL,NULL,NULL,NULL
630433.0,MOTOR,1530.00,1.00,NULL,NULL,NULL,NULL,NULL
630434.0,MOTOR,1800.00,1.00,NULL,NULL,NULL,NULL,NULL
630408.0,ROVER 75 2.0CDT (68),0.00,1.00,2002,1950CC,85KW,115CP,SARRJZLCH3D266730
630409.0,SMART FORFOUR 1.3 GRI (69),0.00,1.00,2005,1332CC,70KW,95CP,WME4540312B093459
