ID,ID_UM_MINIMA,COD_INTERN,DENUMIRE,PRET_LISTA,PRET_VANZ_MAG,GRAMAJ_UNITATEA_MINIMA,ORDINE_AFISARE,XDISC_PROMO,XTVA,XADAOS,PRODUS_ACTIV,ACOPERIRE,COD_BARE,COMENT,EXPL,PRET_LISTA_EURO,PAGINA_CATALOG,LINK_DISK,FIELD_1,FIELD_2,STOC_COMANDAT_CLN,STOC_COMANDAT_FUR,STOC_CURENT,STOC_REZERVAT,STOC_ASIGURAT,PARENT_ID,SOURCE_ID
630351,4,cod nou91,LAND ROVER FREELANDER 2.0TD4 - NEGRU 697 (9),0,0,0,999999999,0,24,0,1,18,630351,NULL,"2003, 1951CC, 80KW, 109CP, SALLNANE72A389155",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630352,4,cod nou581,LAND ROVER FREELANDER 2.0TD4 - ALBASTRU 644 (58),0,0,0,999999999,0,24,0,1,18,630352,NULL,"2002, 1951CC, -KW, -CP, SALLNABE12A384814",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630353,4,cod nou591,LAND ROVER FREELANDER 2.0TD4 - ARGINTIU 737 (59),0,0,0,999999999,0,24,0,1,18,630353,NULL,"2003, 1951CC, -KW, -CP, SALLNAAE73A267503",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630354,4,cod nou602.0,LAND ROVER FREELANDER 2.0TD4 - ARGINTIU 737 (60),0,0,0,999999999,0,24,0,1,18,630354,NULL,"2003, 1951CC, 84KW, 112CP, SALLNABE73A290058",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630355,4,cod nou11,LAND ROVER FREELANDER 2.0TD4 - ARGINTIU 737 (1),0,0,0,999999999,0,24,0,1,18,630355,NULL,"2002, 1951CC, 80KW, 109CP, SALLNABE73A286457",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630356,4,cod nou51,LAND ROVER FREELANDER 1.8 STG - NEGRU 697 (5),0,0,0,999999999,0,24,0,1,18,630356,NULL,"1998, 1796CC, 88KW, 120CP, SALLNAAA8XA654801",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630357,4,cod nou662.0,LAND ROVER FREELANDER 2.0TD4 - ALBASTRU 644 (66),0,0,0,999999999,0,24,0,1,18,630357,NULL,"2002, 1951CC, 84KW, 112CP, SALLNABE72A214420",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630358,4,cod nou81,LAND ROVER FREELANDER 1.8 - ALBASTRU 608 (8),0,0,0,999999999,0,24,0,1,18,630358,NULL,"1999, 1796CC, 88KW, 120CP, SALLNABA71A354111",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630359,4,cod nou62.0,LAND ROVER FREELANDER 2.0TD4 - VISINIU 601 (6),0,0,0,999999999,0,24,0,1,18,630359,NULL,"2000, 1951CC, 72KW, 98CP, SALLNAAB7XA679207",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630360,4,cod nou21,LAND ROVER FREELANDER 1.8 ES - VISINIU 601 (2),0,0,0,999999999,0,24,0,1,18,630360,NULL,"2001, 1796CC, 86KW, 117CP, SALLNABA7XA678078",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630361,4,cod nou263.0,MAZDA 6 1.8 (26),0,0,0,999999999,0,24,0,1,18,630361,NULL,"2005, 1798CC, 88KW, 120CP, JMZGG148201195421",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630362,4,cod nou551,MAZDA 6 2.0Di (55),0,0,0,999999999,0,24,0,1,18,630362,NULL,"2004, 1998CC, 100KW, 136CP, JMZGY19R201175298",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630363,4,cod nou541,MERCEDES SPRINTER 2.2CDI (54),0,0,0,999999999,0,24,0,1,18,630363,NULL,"2003, 2148CC, 95KW, 129CP, WDB9036632R547826",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630364,4,cod nou242.0,NISSAN PRIMASTAR 1.9 (24),0,0,0,999999999,0,24,0,1,18,630364,NULL,"2003, 1870CC, 60KW, 80CP, WSKF4ABA5UV154427",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630365,4,cod nou222.0,OPEL VIVARO 1.9 (22),0,0,0,999999999,0,24,0,1,18,630365,NULL,"2001, 1870CC, 60KW, 80CP, WOLF7ABA51V617206",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
